time,open,high,low,close,volume,SMA_short,SMA_long,RSI
2026-02-19 11:04:00+00:00,154.676,154.69,154.666,154.674,206,154.70935,154.75328,37.14285714286062
2026-02-19 11:05:00+00:00,154.674,154.686,154.671,154.686,218,154.70639999999997,154.75052,44.9612403100823
2026-02-19 11:06:00+00:00,154.686,154.71,154.68,154.698,192,154.7038,154.7482,53.3333333333365
2026-02-19 11:07:00+00:00,154.699,154.705,154.676,154.693,181,154.70094999999998,154.74582,48.90829694323264
2026-02-19 11:08:00+00:00,154.694,154.698,154.672,154.684,165,154.69845,154.74326,54.90196078431537
2026-02-19 11:09:00+00:00,154.682,154.686,154.664,154.667,147,154.69445000000002,154.74012000000002,40.760869565220915
2026-02-19 11:10:00+00:00,154.668,154.67,154.66,154.668,130,154.69055,154.73756,33.53658536585462
2026-02-19 11:11:00+00:00,154.667,154.677,154.665,154.669,103,154.6884,154.73498,39.716312056740314
2026-02-19 11:12:00+00:00,154.67,154.674,154.657,154.663,81,154.68744999999998,154.73216,37.24137931035591
2026-02-19 11:13:00+00:00,154.664,154.666,154.644,154.664,121,154.68575,154.72976,34.057971014489326
2026-02-19 11:14:00+00:00,154.664,154.673,154.655,154.673,143,154.6862,154.7271,33.57664233577445
2026-02-19 11:15:00+00:00,154.672,154.674,154.644,154.667,181,154.6845,154.72364,45.54455445545363
2026-02-19 11:16:00+00:00,154.668,154.67,154.646,154.646,167,154.6807,154.71962,32.14285714285171
2026-02-19 11:17:00+00:00,154.644,154.657,154.626,154.656,150,154.67860000000002,154.71582,41.071428571438545
2026-02-19 11:18:00+00:00,154.656,154.67,154.639,154.67,113,154.6771,154.71259999999998,48.387096774186155
2026-02-19 11:19:00+00:00,154.671,154.702,154.668,154.7,151,154.67669999999998,154.71032000000002,54.92957746478141
2026-02-19 11:20:00+00:00,154.698,154.716,154.693,154.708,86,154.6762,154.70908,53.62318840579292
2026-02-19 11:21:00+00:00,154.708,154.714,154.688,154.698,81,154.6773,154.70734000000002,51.748251748249814
